product,forums,news,twitter,video,convo_vol,positive_vol,neutral_vol,negative_vol,senti_score_avg,senti_score_wk,week,units,index,views,group,cat,period
g1,5823,102,9018,21605,36548,8402,20990,7156,63.42857143,60,48,46936,2.889666667,59079527,g,Sports,postlaunch
g1,4861,31,9479,15315,29686,7068,17618,5000,68.28571429,74,49,35921,3.008933333,55122532,g,Sports,postlaunch
g1,4622,428,41939,12276,59265,6496,47821,4948,62.42857143,64,50,31900,3.323766667,50431606,g,Sports,postlaunch
g1,4075,263,14776,8373,27487,4854,18433,4200,60,54,51,22297,3.773733333,43313520,g,Sports,postlaunch
g1,4098,257,9620,5092,19067,4063,10912,4092,58.14285714,62,52,11654,4.107066667,35029806,g,Sports,postlaunch
g1,5440,113,7260,6921,19734,4512,9078,6144,47,47,53,19783,2.7955,28610182,g,Sports,postlaunch
g1,3505,9,5849,4499,13862,2853,7324,3685,48.85714286,51,54,11104,2.167866667,28278408,g,Sports,postlaunch
g1,3192,3,4877,4224,12296,2634,5916,3746,46.14285714,58,55,10132,1.8521,26978173,g,Sports,postlaunch
g1,2536,1,5373,3777,11687,2604,6206,2877,55.57142857,42,56,8694,1.857866667,25500417,g,Sports,postlaunch
g1,1964,3,3191,3751,8909,1685,5555,1669,56.85714286,65,57,13323,1.734733333,25804105,g,Sports,postlaunch
g1,2110,130,3241,3247,8728,2434,4612,1682,67.14285714,69,58,17787,1.5531,26199281,g,Sports,postlaunch
g1,2191,4,2344,2983,7522,1382,4555,1585,53.42857143,47,59,11550,1.5466,25914961,g,Sports,postlaunch
g1,2318,1,2761,3456,8536,2057,4694,1785,63,64,60,14412,1.490966667,24840733,g,Sports,postlaunch
g1,1873,4,2945,2466,7288,1480,4313,1495,57.71428571,47,61,19324,1.937466667,26715383,g,Sports,postlaunch
g1,1996,1,2008,2688,6693,1322,4190,1181,60.57142857,60,62,12740,1.629166667,25868683,g,Sports,postlaunch
